7882: {4, 9}
7894: {17, 22}
7894: {18, 23}
7902: {81, 86}
7917: {36, 41}
7930: {43, 48}
7946: {71, 76}
7947: {27, 32}
7949: {13, 18}
7971: {64, 69}
7980: {15, 20}
7980: {26, 31}
7980: {27, 32}
7980: {28, 33}
7986: {45, 50}
7992: {33, 38}
8015: {50, 55}
8018: {73, 78}
8023: {87, 92}
8041: {75, 80}
8041: {76, 81}
8045: {22, 27}
8059: {6, 11}
8061: {24, 29}
8078: {35, 40}
8078: {36, 41}
8094: {7, 12}
2818: {36, 41}
2835: {47, 52}
2835: {48, 53}
2851: {19, 24}
2874: {42, 47}
2886: {95, 100}
2886: {96, 101}
2898: {96, 101}
2901: {81, 86}
2915: {44, 49}
2916: {40, 45}
2941: {9, 14}
2953: {38, 43}
2953: {39, 44}
2958: {62, 67}
2960: {35, 40}
2967: {50, 55}
2967: {51, 56}
2979: {41, 46}
2983: {91, 96}
3050: {43, 48}
3054: {85, 90}
3098: {66, 71}
3099: {44, 49}
3104: {41, 46}
3105: {35, 40}
3160: {76, 81}
3168: {39, 44}
3186: {13, 18}
3186: {14, 19}
3192: {94, 99}
3192: {95, 100}
3192: {96, 101}
3213: {56, 61}
3213: {57, 62}
3231: {19, 24}
3284: {48, 53}
3284: {49, 54}
3312: {20, 25}
3323: {11, 16}
3329: {51, 56}
3353: {23, 28}
3353: {24, 29}
3353: {25, 30}
3406: {65, 70}
3416: {61, 66}
3435: {6, 11}
3444: {60, 65}
3453: {25, 30}
3460: {22, 27}
6431: {48, 53}
6441: {58, 63}
6453: {82, 87}
6480: {63, 68}
6494: {72, 77}
6503: {73, 78}
6512: {78, 83}
6514: {11, 16}
6524: {20, 25}
6526: {26, 31}
6526: {27, 32}
6533: {92, 97}
6536: {32, 37}
6551: {30, 35}
6551: {31, 36}
6563: {90, 95}
6563: {91, 96}
6568: {84, 89}
6603: {2, 7}
6608: {83, 88}
6608: {84, 89}
6657: {86, 91}
6745: {16, 21}
6745: {17, 22}
6783: {26, 31}
6787: {31, 36}
6844: {20, 25}
6844: {38, 43}
6845: {77, 82}
6859: {3, 8}
6896: {78, 83}
6897: {27, 32}
6900: {3, 8}
6902: {24, 29}
6907: {64, 69}
6909: {67, 72}
6918: {24, 29}
6922: {24, 29}
6928: {39, 44}
6954: {62, 67}
6957: {18, 23}
6959: {47, 52}
6972: {73, 78}
6972: {74, 79}
7018: {35, 40}
7052: {68, 73}
7066: {37, 42}
7066: {38, 43}
7066: {45, 50}
7068: {78, 83}
8761: {11, 16}
8767: {27, 32}
8783: {2, 7}
8796: {80, 85}
8800: {40, 45}
8802: {21, 26}
8812: {26, 31}
8845: {84, 89}
8845: {85, 90}
8845: {86, 91}
8881: {75, 80}
8917: {96, 101}
8956: {43, 48}
8962: {65, 70}
8964: {42, 47}
9001: {42, 47}
9006: {23, 28}
9008: {29, 34}
9035: {44, 49}
9036: {90, 95}
9041: {55, 60}
9052: {92, 97}
9062: {41, 46}
9062: {42, 47}
9063: {2, 7}
9075: {26, 31}
9102: {7, 12}
9116: {16, 21}
9120: {43, 48}
9125: {17, 22}
9134: {22, 27}
9135: {55, 60}
9145: {64, 69}
9147: {70, 75}
9147: {71, 76}
9155: {36, 41}
9157: {76, 81}
9172: {74, 79}
9172: {75, 80}
9185: {34, 39}
9185: {35, 40}
9190: {28, 33}
9224: {46, 51}
9230: {27, 32}
9230: {28, 33}
9279: {30, 35}
9295: {42, 47}
9366: {60, 65}
9366: {61, 66}
9398: {41, 46}
1198: {70, 75}
1210: {94, 99}
1237: {75, 80}
1251: {84, 89}
1256: {11, 16}
1260: {85, 90}
1269: {90, 95}
1271: {23, 28}
1281: {32, 37}
1283: {38, 43}
